Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Open Access,Source,EID
"Islam R.","57204511939;","Interpretable Models and Patterns for EEG data set",2021,"Conference Proceedings - 5th Scientific School Dynamics of Complex Networks and their Applications, DCNA 2021",,,,"87","91",,,"10.1109/DCNA53427.2021.9587086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126520833&doi=10.1109%2fDCNA53427.2021.9587086&partnerID=40&md5=5d48e12509ba909a300d75fa2ff099dd","Innopolis University, Universitetskaya, 1, Innopolis, 420500, Russian Federation","Islam, R., Innopolis University, Universitetskaya, 1, Innopolis, 420500, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85126520833
"Antipov V., Badarin A.","57212195512;56359138000;","Wireless personal training tracker for sports shooting",2021,"Conference Proceedings - 5th Scientific School Dynamics of Complex Networks and their Applications, DCNA 2021",,,,"29","31",,,"10.1109/DCNA53427.2021.9587078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126519113&doi=10.1109%2fDCNA53427.2021.9587078&partnerID=40&md5=81ed851de7ca574ed9fcbe15d037411a","Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation; Lobachevsky University, Nizhny Novgorod, Russian Federation; Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation; Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation","Antipov, V., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation, Lobachevsky University, Nizhny Novgorod, Russian Federation; Badarin, A., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation, Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85126519113
"Chepurova A., Kurkin S.","57491141600;35334432000;","Comparison on brain activity for mechanical imagery and execution: a brief review",2021,"Conference Proceedings - 5th Scientific School Dynamics of Complex Networks and their Applications, DCNA 2021",,,,"56","60",,,"10.1109/DCNA53427.2021.9587202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126519041&doi=10.1109%2fDCNA53427.2021.9587202&partnerID=40&md5=476b78bcb54f7c7286616d070bf18f02","Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation; Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation","Chepurova, A., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation; Kurkin, S., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation, Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85126519041
"Badarin A., Smirnov N., Kurkin S.","56359138000;57219972477;35334432000;","Biomarkers of brain activity for the performance evaluation in the process of solving cognitive tasks",2021,"Conference Proceedings - 5th Scientific School Dynamics of Complex Networks and their Applications, DCNA 2021",,,,"36","39",,,"10.1109/DCNA53427.2021.9587001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126517836&doi=10.1109%2fDCNA53427.2021.9587001&partnerID=40&md5=c6a129e5e72a55f252467d4ef002f6fc","Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation; Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation","Badarin, A., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation, Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation; Smirnov, N., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation; Kurkin, S., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation, Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85126517836
"Frolov N., Pitsik E.","16498801300;57192586726;","Changes in cortical activation during single-session sensorimotor training: young versus elderly adults",2021,"Conference Proceedings - 5th Scientific School Dynamics of Complex Networks and their Applications, DCNA 2021",,,,"73","74",,,"10.1109/DCNA53427.2021.9587192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126511075&doi=10.1109%2fDCNA53427.2021.9587192&partnerID=40&md5=0e08776cb8ce9deed3fe5eb1251afc65","Innopolis University, Innopolis, Russian Federation; Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation","Frolov, N., Innopolis University, Innopolis, Russian Federation, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation; Pitsik, E., Innopolis University, Innopolis, Russian Federation, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85126511075
"Nasybullin A., Kurkin S.","57491821000;35334432000;","Convolutional Neural Network and Adversarial Autoencoder in EEG images classification",2021,"Conference Proceedings - 5th Scientific School Dynamics of Complex Networks and their Applications, DCNA 2021",,,,"139","142",,,"10.1109/DCNA53427.2021.9586891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126509615&doi=10.1109%2fDCNA53427.2021.9586891&partnerID=40&md5=7b3422dc8e67e2b00cac2df4a975e803","Faculty of Computer Science and Engineering, Innopolis University, Innopolis, Russian Federation; Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation","Nasybullin, A., Faculty of Computer Science and Engineering, Innopolis University, Innopolis, Russian Federation; Kurkin, S., Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85126509615
"Ashlock D., Brown J.A., Ashlock W., Dubé M.","7003662061;55724408300;8978080900;57203241124;","Ring optimization of epidemic contact networks",2021,"2021 IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology, CIBCB 2021",,,,"","",,,"10.1109/CIBCB49929.2021.9562885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126443091&doi=10.1109%2fCIBCB49929.2021.9562885&partnerID=40&md5=17939c085d5b2c8d699249512c1d0a6c","Department of Mathematics and Statistics, University of Guelph, Guelph, ON, Canada; Artificial Intelligence in Games Development Lab., Innopolis University, Russian Federation; Research and Development, Ashlock and McGuinness Consulting, Guelph, ON, Canada; Bioinformatics Program, University of Guelph, Guelph, ON, Canada","Ashlock, D., Department of Mathematics and Statistics, University of Guelph, Guelph, ON, Canada; Brown, J.A., Artificial Intelligence in Games Development Lab., Innopolis University, Russian Federation; Ashlock, W., Research and Development, Ashlock and McGuinness Consulting, Guelph, ON, Canada; Dubé, M., Bioinformatics Program, University of Guelph, Guelph, ON, Canada",Conference Paper,"Final","",Scopus,2-s2.0-85126443091
"Petrenko S.","57195327289;","Developing an Enterprise Continuity Program",2021,"Developing an Enterprise Continuity Program",,,,"1","514",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126426272&partnerID=40&md5=232bf425102f7001a4c02ea09ff8a461","Innopolis University, Russian Federation","Petrenko, S., Innopolis University, Russian Federation",Book,"Final","",Scopus,2-s2.0-85126426272
"Lobov S.A., Krilova N.P., Makarov V.A., Kurganov D.P., Makarova J.","57066665100;57192433035;7401690155;57486055400;36869004800;","Arcade game testing of generalized cognitive maps in humans",2021,"Proceedings - 3rd International Conference ""Neurotechnologies and Neurointerfaces"", CNN 2021",,,,"61","63",,,"10.1109/CNN53494.2021.9580220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126241969&doi=10.1109%2fCNN53494.2021.9580220&partnerID=40&md5=e5d74b5adf434c1fa5e353f466c7b54a","Neurotechnology Dept., Lobachevsky State University, Nizhny Novgorod, Russian Federation; Neuroscience and Cognitive Technology Lab., Innopolis University, Innopolis, Russian Federation; Center For Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation","Lobov, S.A., Neurotechnology Dept., Lobachevsky State University, Nizhny Novgorod, Russian Federation, Neuroscience and Cognitive Technology Lab., Innopolis University, Innopolis, Russian Federation, Center For Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation; Krilova, N.P., Neurotechnology Dept., Lobachevsky State University, Nizhny Novgorod, Russian Federation; Makarov, V.A., Neurotechnology Dept., Lobachevsky State University, Nizhny Novgorod, Russian Federation; Kurganov, D.P., Neurotechnology Dept., Lobachevsky State University, Nizhny Novgorod, Russian Federation; Makarova, J., Neurotechnology Dept., Lobachevsky State University, Nizhny Novgorod, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85126241969
"Lebedeva A., Gerasimova S., Fedulina A., Mishchenko M., Beltyukova A., Matveeva M., Mikhaylov A., Pisarchik A., Kazantsev V.","56673830700;56779844300;57219972317;55893400800;57486266300;57222324231;6701888444;7005864666;7005605401;","Neuromorphic system development based on adaptive neuronal network to modulate synaptic transmission in hippocampus",2021,"Proceedings - 3rd International Conference ""Neurotechnologies and Neurointerfaces"", CNN 2021",,,,"57","60",,,"10.1109/CNN53494.2021.9580201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126231763&doi=10.1109%2fCNN53494.2021.9580201&partnerID=40&md5=1ecc20e5ffe4169cc66ed640ea0e5801","Neurotechnologies Department, N.I. Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Laboratory of Physics and Technology of Thin Films, Department of Solid State Electronics and Optoelectronics, Research Institute of Physics and Technology, N.I. Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Department of Theory of Oscillations and Automatic Control, Faculty of Radiophysics N.I. Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Center for Biomedical Technology, Technical University of Madrid, Pozuelo de Alarcón, Madrid, Spain; Center for Technologies in Robotics and Mechatronics, Component Innopolis University, Innopolis, Russian Federation; Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation","Lebedeva, A., Neurotechnologies Department, N.I. Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Gerasimova, S., Neurotechnologies Department, N.I. Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation, Laboratory of Physics and Technology of Thin Films, Department of Solid State Electronics and Optoelectronics, Research Institute of Physics and Technology, N.I. Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Fedulina, A., Neurotechnologies Department, N.I. Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Mishchenko, M., Department of Theory of Oscillations and Automatic Control, Faculty of Radiophysics N.I. Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Beltyukova, A., Neurotechnologies Department, N.I. Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Matveeva, M., Neurotechnologies Department, N.I. Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Mikhaylov, A., Laboratory of Physics and Technology of Thin Films, Department of Solid State Electronics and Optoelectronics, Research Institute of Physics and Technology, N.I. Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation, Center for Biomedical Technology, Technical University of Madrid, Pozuelo de Alarcón, Madrid, Spain, Center for Technologies in Robotics and Mechatronics, Component Innopolis University, Innopolis, Russian Federation; Pisarchik, A., Center for Biomedical Technology, Technical University of Madrid, Pozuelo de Alarcón, Madrid, Spain, Center for Technologies in Robotics and Mechatronics, Component Innopolis University, Innopolis, Russian Federation; Kazantsev, V., Neurotechnologies Department, N.I. Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation, Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85126231763
"Gladkov A., Pigareva Y., Kolpakov V., Mukhina I., Bukatin A., Kazantsev V., Pimashkin A.","55696429000;57035413100;57191381002;55263161500;52363325000;7005605401;56165145700;","Bursting activity interplay in modular neural networks in vitro",2021,"Proceedings - 3rd International Conference ""Neurotechnologies and Neurointerfaces"", CNN 2021",,,,"23","25",,,"10.1109/CNN53494.2021.9580356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126188817&doi=10.1109%2fCNN53494.2021.9580356&partnerID=40&md5=d595e47af132df6441995d41f71431b1","Cell Technology Department, Central Research Laboratory Privolzhsky Research Medical University, Nizhny Novgorod, Russian Federation; Neurotechnology Department, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Laboratory of Renewable Energy Sources, Alferov Saint-Petersburg National, Research Academic University of the Russian Academy of Sciences, Saint-Petersburg, Russian Federation; Laboratory of Bio and Chemosensor Microsystems, Institute for Analytical Instrumentation of the RAS, Saint-Petersburg, Russian Federation; Neuroscience and Cognitive Technology, Laboratory Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation; Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation; NeurotechnologyDepartment, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation","Gladkov, A., Cell Technology Department, Central Research Laboratory Privolzhsky Research Medical University, Nizhny Novgorod, Russian Federation, Neurotechnology Department, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Pigareva, Y., Neurotechnology Department, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Kolpakov, V., Neurotechnology Department, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Mukhina, I., Cell Technology Department, Central Research Laboratory Privolzhsky Research Medical University, Nizhny Novgorod, Russian Federation, Neurotechnology Department, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation; Bukatin, A., Laboratory of Renewable Energy Sources, Alferov Saint-Petersburg National, Research Academic University of the Russian Academy of Sciences, Saint-Petersburg, Russian Federation, Laboratory of Bio and Chemosensor Microsystems, Institute for Analytical Instrumentation of the RAS, Saint-Petersburg, Russian Federation; Kazantsev, V., Neurotechnology Department, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation, Neuroscience and Cognitive Technology, Laboratory Center for Technologies in Robotics and Mechatronics Components, Innopolis University, Innopolis, Russian Federation, Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation; Pimashkin, A., NeurotechnologyDepartment, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85126188817
"Kastalskiy I., Tsybina Y., Kazantsev V., Gordleeva S.","55314345300;57219974710;7005605401;55328272900;","Astrocytes’ signals guided storage and retrieval of patterns by an SNN",2021,"Proceedings - 3rd International Conference ""Neurotechnologies and Neurointerfaces"", CNN 2021",,,,"34","37",,,"10.1109/CNN53494.2021.9631943","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126176559&doi=10.1109%2fCNN53494.2021.9631943&partnerID=40&md5=524c014fa21a5d9c3c698284084465a4","Dept. of Radiophysical Methods in Medicine, Institute of Applied Physics of RAS Nizhny, Novgorod, Russian Federation; Neurotechnology Dept., Lobachevsky University, Nizhny Novgorod, Russian Federation; Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation; Neuroscience and Cognitive Technology Lab, Innopolis University, Innopolis, Russian Federation; Neuroscience Research Institute, Samara State Medical University, Samara, Russian Federation","Kastalskiy, I., Dept. of Radiophysical Methods in Medicine, Institute of Applied Physics of RAS Nizhny, Novgorod, Russian Federation, Neurotechnology Dept., Lobachevsky University, Nizhny Novgorod, Russian Federation, Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation; Tsybina, Y., Neurotechnology Dept., Lobachevsky University, Nizhny Novgorod, Russian Federation; Kazantsev, V., Neurotechnology Dept., Lobachevsky University, Nizhny Novgorod, Russian Federation, Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation, Neuroscience and Cognitive Technology Lab, Innopolis University, Innopolis, Russian Federation, Neuroscience Research Institute, Samara State Medical University, Samara, Russian Federation; Gordleeva, S., Neurotechnology Dept., Lobachevsky University, Nizhny Novgorod, Russian Federation, Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, Kaliningrad, Russian Federation, Neuroscience and Cognitive Technology Lab, Innopolis University, Innopolis, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85126176559
"Ashlock D., Brown J.A., Houghten S., Makhmutov M.","7003662061;55724408300;6506378984;57194571105;","One moose, two moose, three fields, more?",2021,"2021 IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology, CIBCB 2021",,,,"","",,1,"10.1109/CIBCB49929.2021.9562871","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125815799&doi=10.1109%2fCIBCB49929.2021.9562871&partnerID=40&md5=92857ec4ca315370b05525a8594fd2aa","University of Guelph Mathematics and Statistics, Guelph, ON, Canada; Artificial Intelligence in Games Development Lab., Innopolis University, Innopolis, Russian Federation; Brock University Computer Science, St. Catharines, ON, Canada","Ashlock, D., University of Guelph Mathematics and Statistics, Guelph, ON, Canada; Brown, J.A., Artificial Intelligence in Games Development Lab., Innopolis University, Innopolis, Russian Federation; Houghten, S., Brock University Computer Science, St. Catharines, ON, Canada; Makhmutov, M., Artificial Intelligence in Games Development Lab., Innopolis University, Innopolis, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85125815799
"Badour J., Brown J.A.","57477558900;55724408300;","Hateful Memes Classification using Machine Learning",2021,"2021 IEEE Symposium Series on Computational Intelligence, SSCI 2021 - Proceedings",,,,"","",,,"10.1109/SSCI50451.2021.9659896","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125804492&doi=10.1109%2fSSCI50451.2021.9659896&partnerID=40&md5=99f7a88d9d178ef259188820838a9ce3","Innopolis University, Artificial Intelligence in Games Design Lab, Innopolis, Russian Federation","Badour, J., Innopolis University, Artificial Intelligence in Games Design Lab, Innopolis, Russian Federation; Brown, J.A., Innopolis University, Artificial Intelligence in Games Design Lab, Innopolis, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85125804492
"Ashlock D., Brown J.A., Gregor C., Makhmutov M.","7003662061;55724408300;57221648421;57194571105;","A Family of Turn Based Strategy Games with Moose",2021,"2021 IEEE Symposium Series on Computational Intelligence, SSCI 2021 - Proceedings",,,,"","",,,"10.1109/SSCI50451.2021.9660049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125792424&doi=10.1109%2fSSCI50451.2021.9660049&partnerID=40&md5=1806186fbba969e850827f7c78a0aeb9","University of Guelph, Department of Mathematics and Statistics, Ontario, Canada; Innopolis University, Artificial Intelligence in Games Development Lab, Innopolis, Russian Federation","Ashlock, D., University of Guelph, Department of Mathematics and Statistics, Ontario, Canada; Brown, J.A., Innopolis University, Artificial Intelligence in Games Development Lab, Innopolis, Russian Federation; Gregor, C., University of Guelph, Department of Mathematics and Statistics, Ontario, Canada; Makhmutov, M., Innopolis University, Artificial Intelligence in Games Development Lab, Innopolis, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85125792424
"Varenov V., Gabdrahmanov A.","57470954100;57471119100;","Security Requirements Classification into Groups Using NLP Transformers",2021,"Proceedings of the IEEE International Conference on Requirements Engineering","2021-January",,,"444","450",,,"10.1109/REW53955.2021.9714713","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125498711&doi=10.1109%2fREW53955.2021.9714713&partnerID=40&md5=b7c8c871820265242b736425cf5ca66c","Innopolis University, Russian Federation","Varenov, V., Innopolis University, Russian Federation; Gabdrahmanov, A., Innopolis University, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85125498711
"Nedelchev S., Kirsanov D., Gaponov I., Seong H., Ryu J.-H.","57200310148;57194146935;24922859900;57195420159;7401867592;","On Smooth Time-Optimal Trajectory Planning in Twisted String Actuators",2021,"Proceedings - IEEE International Conference on Robotics and Automation","2021-May",,,"10107","10113",,,"10.1109/ICRA48506.2021.9561400","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125461828&doi=10.1109%2fICRA48506.2021.9561400&partnerID=40&md5=21236c3e7249a95b28c7e2cadb8a6e8c","Institute of Robotics and Computer Vision, Innopolis University, Innopolis, Russian Federation; Department of Civil and Environmental Engineering, KAIST, Daejeon, South Korea","Nedelchev, S., Institute of Robotics and Computer Vision, Innopolis University, Innopolis, Russian Federation; Kirsanov, D., Institute of Robotics and Computer Vision, Innopolis University, Innopolis, Russian Federation; Gaponov, I., Institute of Robotics and Computer Vision, Innopolis University, Innopolis, Russian Federation; Seong, H., Department of Civil and Environmental Engineering, KAIST, Daejeon, South Korea; Ryu, J.-H., Department of Civil and Environmental Engineering, KAIST, Daejeon, South Korea",Conference Paper,"Final","",Scopus,2-s2.0-85125461828
"Haider Z., Zohaib M.M., Haider F.","57216158183;57189688865;57433010500;","Design and Implementation of Pulsed BPSK, QPSK, Barker Encoded, CW and Chirp Signal Generation in LabVIEW PXI 5644R",2021,"2021 IEEE 9th International Conference on Information, Communication and Networks, ICICN 2021",,,,"96","101",,,"10.1109/ICICN52636.2021.9673966","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125178573&doi=10.1109%2fICICN52636.2021.9673966&partnerID=40&md5=cb555facb6f02c32fae94bcc38adaf0c","National University of Sciences and Technology (NUST), College of EME, Department of Electrical Engineering, Islamabad, Pakistan; Air University, Department of Electrical Engineering, Islamabad, Pakistan; Innopolis University, Lab of Software Engineering, Tatrstan, Russian Federation","Haider, Z., National University of Sciences and Technology (NUST), College of EME, Department of Electrical Engineering, Islamabad, Pakistan; Zohaib, M.M., Air University, Department of Electrical Engineering, Islamabad, Pakistan; Haider, F., Innopolis University, Lab of Software Engineering, Tatrstan, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85125178573
"Zufarova O., Kondratieva V., Zhirosh O.","57210748512;57456894300;56300888400;","Learning Environment-What Matters for the High Ability Computer Science Students?",2021,"Proceedings of 2021 World Engineering Education Forum/Global Engineering Deans Council, WEEF/GEDC 2021",,,,"144","152",,,"10.1109/WEEF/GEDC53299.2021.9657397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124796767&doi=10.1109%2fWEEF%2fGEDC53299.2021.9657397&partnerID=40&md5=0c525b9bff9af5494c6b507a166bfb1e","Institute of Humanities and Social Sciences, Innopolis University, Innopolis, Russian Federation; Innopolis University, Student Affairs, Innopolis, Russian Federation","Zufarova, O., Institute of Humanities and Social Sciences, Innopolis University, Innopolis, Russian Federation; Kondratieva, V., Innopolis University, Student Affairs, Innopolis, Russian Federation; Zhirosh, O., Institute of Humanities and Social Sciences, Innopolis University, Innopolis, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85124796767
"Stanko T., Abramova M., Sagirova E., Zhirosh O., Trapitsin S.","56115151200;57414354000;57414672600;56300888400;56698301200;","How women experience peer-to-peer learning model-a case study of an IT school in Russia",2021,"Proceedings of 2021 World Engineering Education Forum/Global Engineering Deans Council, WEEF/GEDC 2021",,,,"183","189",,,"10.1109/WEEF/GEDC53299.2021.9657425","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124791044&doi=10.1109%2fWEEF%2fGEDC53299.2021.9657425&partnerID=40&md5=b560a7a5aaf93141e0af6b29904e602e","Graduate School of Management, Saint Petersburg State University, Saint Petersburg, Russian Federation; The Center of Sociology of Education, Institute of Education, Tomsk State University, Tomsk, Russian Federation; It School, Moscow, Russian Federation; Institute of Humanities and Social Sciences, Innopolis University, Innopolis, Russian Federation; Herzen State Pedagogical University of Russia, Department of Education and Humoan Resource Menagement, Saint Petersburg, Russian Federation","Stanko, T., Graduate School of Management, Saint Petersburg State University, Saint Petersburg, Russian Federation; Abramova, M., The Center of Sociology of Education, Institute of Education, Tomsk State University, Tomsk, Russian Federation; Sagirova, E., It School, Moscow, Russian Federation; Zhirosh, O., Institute of Humanities and Social Sciences, Innopolis University, Innopolis, Russian Federation; Trapitsin, S., Herzen State Pedagogical University of Russia, Department of Education and Humoan Resource Menagement, Saint Petersburg, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85124791044
"Astafyeva P., Kiselev O.","57454950800;57454950900;","Subresonant solutions of the linear oscillator equation",2021,"2021 International Conference ""Nonlinearity, Information and Robotics"", NIR 2021",,,,"","",,,"10.1109/NIR52917.2021.9666062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124707958&doi=10.1109%2fNIR52917.2021.9666062&partnerID=40&md5=3136f47dd072759addb4e4424f0e67c3","Ufa State Petroleum Technological University, Inst. of Math. with Com. Centre, UFRC, RAS, Ufa, Russian Federation; Innopolis University, Innopolis, Russian Federation","Astafyeva, P., Ufa State Petroleum Technological University, Inst. of Math. with Com. Centre, UFRC, RAS, Ufa, Russian Federation; Kiselev, O., Innopolis University, Innopolis, Russian Federation",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85124707958
"Volobuev V., Turischeva P., Gainutdinov A., Sahibgareev R., Mazzara M., Farina M.","57454737100;57454995800;57454775900;57454788400;8557895400;40661326300;","Effects of Mindfulness meditation on software developers' performance",2021,"2021 International Conference ""Nonlinearity, Information and Robotics"", NIR 2021",,,,"","",,,"10.1109/NIR52917.2021.9666104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124705649&doi=10.1109%2fNIR52917.2021.9666104&partnerID=40&md5=dcc8b06469d042cc1d7265a196b6659e","Innopolis University, Lab of Neuroscience, Innopolis, Russian Federation; Innopolis University, Computer Science, Innopolis, Russian Federation","Volobuev, V., Innopolis University, Lab of Neuroscience, Innopolis, Russian Federation; Turischeva, P., Innopolis University, Lab of Neuroscience, Innopolis, Russian Federation; Gainutdinov, A., Innopolis University, Lab of Neuroscience, Innopolis, Russian Federation; Sahibgareev, R., Innopolis University, Lab of Neuroscience, Innopolis, Russian Federation; Mazzara, M., Innopolis University, Computer Science, Innopolis, Russian Federation; Farina, M., Innopolis University, Lab of Neuroscience, Innopolis, Russian Federation",Conference Paper,"Final","",Scopus,2-s2.0-85124705649
"Imbugwa G.B., Mazzara M., Distefano S.","57221395702;8557895400;17433851100;","Smart Parking Solution for Enterprise on Ethereum",2021,"2021 International Conference ""Nonlinearity, Information and Robotics"", NIR 2021",,,,"","",,,"10.1109/NIR52917.2021.9666126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124704626&doi=10.1109%2fNIR52917.2021.9666126&partnerID=40&md5=36140eb67d46da64ed75000e107865b5","Innopolis University, Innopolis, Russian Federation; University of Messina, Italy","Imbugwa, G.B., Innopolis University, Innopolis, Russian Federation; Mazzara, M., Innopolis University, Innopolis, Russian Federation; Distefano, S., University of Messina, Italy",Conference Paper,"Final","",Scopus,2-s2.0-85124704626
